#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1722461761        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461771        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461781        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461792        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461802        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461812        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461823        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461833        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461843        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461854        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461864        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461875        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461885        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461896        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461906        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461917        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461927        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461937        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461948        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461958        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461968        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461979        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461989        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462000        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462010        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462021        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462031        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462041        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462052        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722462062        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462072        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462083        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462093        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462103        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462114        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462124        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462134        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462146        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462157        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462167        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462178        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462188        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462198        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462209        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462219        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462229        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462240        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462250        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462262        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462272        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462282        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462293        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462303        2212.930000       263.182000        50.877100         21.678500         0.000000          138.635000        50.877100        
1722462313        2212.930000       263.182000        50.877100         21.678500         0.000000          138.636000        50.877100        
1722462324        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722462334        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462344        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462355        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462365        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462375        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462386        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722462396        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462407        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722462417        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462428        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462438        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462448        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462459        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462469        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
